ProjectNo.,Silh_c=2,Silh_c=3,Silh_c=4,Silh_c=5,Silh_c=6,Silh_c=7,Silh_c=8,Silh_c=9,Silh_c=10,DB_c=2,DB_c=3,DB_c=4,DB_c=5,DB_c=6,DB_c=7,DB_c=8,DB_c=9,DB_c=10
20,0.9724772633012599,0.9487095991054474,0.8186574536833302,0.6162157946154421,0.6016498604780722,0.5815266664799721,0.5277038045074643,0.4914939703109834,0.49400554048872164,0.4154106440503773,0.2985263257822655,0.4846013940389255,0.5960891525796155,0.483745003765467,0.637458749025371,0.625434862984808,0.6744878516750751,0.6667814845250094
21,0.9774799908552588,0.9331084982492412,0.895794016461236,0.7958102350976394,0.6254927211968039,0.6197867087337423,0.5505929130210074,0.5199931843597765,0.4917720750251561,0.3550313592679172,0.4611282252569797,0.35922553081766784,0.44662257444824205,0.48973002976266783,0.48892706334193475,0.5727259745537847,0.6736609384104335,0.7123628421009218
22,0.8822718195943847,0.608482483485989,0.6092678784783294,0.5484484159011548,0.5382195245380511,0.5304625558943002,0.5187048121485928,0.46208149790647457,0.46900711465248146,0.2980433580233934,0.5304852000431489,0.35550544969555,0.3224694792129754,0.33100721323650123,0.307362396778469,0.2696465242709861,0.38321075883542477,0.32266907464717304
23,0.6654609557503124,0.5722705714308377,0.5538121183384,0.5232953410571045,0.4631672716022621,0.46578398345217176,0.43403793646221145,0.3776881009693436,0.38106919016592034,0.6673320873629063,0.664498293208759,0.6531301423092664,0.6446383357052747,0.6806996071707626,0.7130779411784501,0.7549144465254205,0.8236535968331048,0.8114969547758439
24,0.614457927266157,0.563938278535014,0.514432672930211,0.5316741475250949,0.44138021723987997,0.4609731816517472,0.4068499424049815,0.3905366472346048,0.3281338691788435,0.6901950039440116,0.6602603184631926,0.6364468054696679,0.764670754139251,0.8747534890047444,0.6628743785562569,0.8762682985951931,0.959379832584613,1.0008119718812
25,0.7321668232510117,0.6240336952556261,0.5641314234995025,0.5005686492617388,0.4854292515352955,0.4866991146171512,0.43074574829995027,0.40521759908121063,0.39874870311104293,0.9972392441614591,0.4983506361644894,0.5450960042445305,0.6106736153897975,0.7249947969490215,0.6530578281479917,0.7271546514363751,0.6852340237865668,0.7431627323762073
26,0.900808846203218,0.6477420458463496,0.588582112406182,0.5459225211172738,0.47562643863821125,0.46878845720588175,0.4761839682655545,0.48380285650644755,0.4491295364909202,0.2391750176239864,0.5971281834320585,0.6555431994427523,0.7292781530713249,0.8113741614045703,1.0082141188371343,0.6419094319619576,0.6659684311278782,0.7119847922645131
27,0.909062288157357,0.6377348204764721,0.6181845104028936,0.5392310786072199,0.47466128953426084,0.46391731248094553,0.4209637487596176,0.4394435743173254,0.4388551631292809,0.285686474135515,0.5915983510751088,0.6777795007901111,0.7139281237186873,0.8264765867129152,1.028904111996262,1.0714347752346443,0.7095703020540719,0.7532607930622685
28,0.9083479840579314,0.796078048027033,0.6839671136232477,0.6459068567569407,0.5985055651287158,0.5195497866606326,0.47586470835706673,0.4555331388446796,0.4462348592525356,0.6485947943497404,0.5423638123387355,0.5296877221066207,0.5640126494328592,0.6031465809716998,0.9485251661471198,1.0353519797819637,1.0089962763009834,1.0210475919252249
29,0.6551856339415244,0.5469796719121719,0.5708140738772649,0.5325002071513043,0.4836075512572303,0.42336611063151,0.44359363636138055,0.3728221588958394,0.34976832233882854,0.5554920709526997,0.5362752457568666,0.5303823014200799,0.5224629657454788,0.5871405730160045,0.6769021565475087,0.5864660959788917,0.6492323727838275,0.45678253481604836
30,0.8609226244331211,0.6743895460661836,0.6211325569570542,0.6053278891785524,0.4837523730350027,0.43962222440209003,0.4467288122408314,0.3959700459952246,0.35922988380911663,0.07740264095677636,0.42340120815431875,0.40065961494481345,0.4365988594129367,0.4604926074196996,0.4027160790736213,0.42479691597428093,0.37412331145196664,0.3186787486718823
31,0.8429350562894596,0.7202536837069,0.657128363826934,0.6099875411435609,0.5663133695165842,0.5447151584687832,0.5169347510917791,0.49887269177205673,0.4614466125822533,0.7048523444062307,0.721682758123988,0.8293665176680283,0.8381021148937539,0.910508234455758,1.0454855085799133,1.1125030232284292,1.219545442189431,1.241473855008387
40,0.7171970299435608,0.702760706949993,0.5171876873501162,0.4697372624620839,0.4299964604290151,0.322716292850434,0.407438580411815,0.3938848631039799,0.3167083924404179,0.7268321458416881,0.4672837601580942,0.4738653590852537,0.5772271298426295,0.6857217559789919,0.701451028473895,0.35339040619975637,0.24446132059587494,0.25976470162646337
41,0.647328487101389,0.47351123345066226,0.4250602086247057,0.4241061230357886,0.41361753476219415,0.4360676318085113,0.3739567914945119,0.4112757368467143,0.42577911923146644,0.6753860375366801,0.8246774380760641,1.1642242245982573,0.6913096580743723,0.8385839000975887,0.8018437107815194,0.9448937254920096,0.7860451069933396,0.7401222485853161
42,0.6466844764703094,0.4489303287843863,0.5109698075056649,0.5093358774259884,0.47242108040604786,0.374204462134423,0.3700440619842617,0.3744541264276723,0.3451223095265489,0.688797460236713,0.8202721500603803,0.7023927776580887,0.7451976067453673,0.8477402452607027,0.920995108507257,1.0039073265257181,0.8927407291574769,1.0691460694741441
43,0.6657226056006198,0.6194451335433948,0.5051536370967238,0.5187404594428342,0.5081856986851968,0.45498806244471285,0.4635565313061789,0.3727665416585665,0.3820972572348839,0.7153199666975265,0.9779683071890645,0.6884516627985044,0.7107949748586435,0.7309789319624053,0.7787871978667488,0.8104688270025333,0.8680295956243099,0.9026500382604986
44,0.8716419471999366,0.7483965190048123,0.5844566110679549,0.5953541611467346,0.6095583801877009,0.6036281675296401,0.573874652872953,0.5805625532135584,0.5447416228521307,0.22505519322676973,0.39992470356213805,0.5794553885982054,0.587762862240697,0.6298947119715037,0.5123555860663488,0.700241983702867,0.47396699334918435,0.5547233254081088
45,0.5454582370916229,0.33965852076534725,0.3817438436356906,0.43264064927618084,0.45572843060543433,0.4403912096273859,0.4195731103959101,0.3557433653169951,0.4010450767686582,0.9470758793636711,1.0428070058238386,0.6931582967861081,0.5596554460199951,0.42041286430985786,0.4595249201525496,0.43706662885185565,0.4513188219215768,0.3758926622657528
46,0.8909637747420039,0.7456822245025336,0.6277780407067352,0.537380726028203,0.5114313941409826,0.5121075077615429,0.47669856758132395,0.44174547091925265,0.43326946703079183,0.061273553007734224,0.24791859323826518,0.3376508258172083,0.42161655124963654,0.5288113016984042,0.45646064827672334,0.5382945770818991,0.5052516114443542,0.5725287897391471
47,0.8324989161971792,0.779150437122841,0.6892225254205578,0.686974509075677,0.6061993747758165,0.5788578469985236,0.5683118770259658,0.5370871962547615,0.5376693536617502,0.9262744498799638,0.7679456969586288,0.8246770044364746,0.8250741966178439,0.8487376665151848,0.8394594684406593,0.8202841473419875,0.8431742236358173,0.9114742819182201
48,0.9734913888627219,0.6678465039264025,0.5585649465620278,0.5241290290036993,0.5007230760417706,0.5501724088524946,0.45247385419387576,0.40570733303883133,0.4230949479885351,0.4007688192314069,0.6649877205581717,0.798840763050219,0.5277207371900572,0.6435678219358464,0.5199081946122288,0.6941041925963607,0.8866610241612263,0.6099199933972941
49,0.9734903879578864,0.6274671106097224,0.6218494244375949,0.5787368565857931,0.4857672034371811,0.4876610559367633,0.4447721016944269,0.48394662305071934,0.4745594580526695,0.4129096119705297,0.6994842879770861,0.4262812782758849,0.5617551669321657,0.7471848184381275,0.6028780393306573,0.7788864424313283,0.5499999752469923,0.5801763562158306
50,0.9282516599781294,0.8636627095494135,0.5287105079124815,0.5708654862148412,0.5728317967550487,0.5638420301984823,0.5134930518165597,0.500002377359415,0.4907853891012509,0.030996728499123362,0.05020262863722765,0.3804952253078369,0.34379063431768936,0.45326682540534174,0.45984039825379464,0.5100732067911361,0.4640914927358474,0.3844505756204195
51,0.6467833595730279,0.4244791664360006,0.5768864741296718,0.5971254844123843,0.5248276722362746,0.5068969712828904,0.3701352560284995,0.31740934314691266,0.2588722142117382,0.5765790488504143,0.5958471863176343,0.36804630547778966,0.3185974809717165,0.29706173824964566,0.3189059027930842,0.4500491846547792,0.44381562795470125,0.37697583094413933
52,0.9237224155498398,0.8290662776247686,0.7717019042050739,0.6481294881852111,0.6374220147830078,0.5592180122069867,0.5546583340501651,0.5830492895697218,0.5652263394777821,0.20869846581799725,0.4607707282862415,0.5576817308603379,0.7189783908468638,0.8252408856308456,0.8759227611527078,0.9335237938968646,0.701131989053605,0.7505126874792607
53,0.9268515006160323,0.8323060659074504,0.7572112232719238,0.6874857522566707,0.6662461245105321,0.5636572020487958,0.5598185489241543,0.5975937308573784,0.5449745683207193,0.24553674609152018,0.46036860252030604,0.5815825244851511,0.7442220777817667,0.9079073291707201,1.0094574139873145,0.9835895472735652,0.8979653659215455,0.9005986476071899
54,0.8652758279632844,0.7884524718834817,0.6701692659181275,0.6169167395123926,0.5647897537993946,0.6087413555697812,0.48008381555705115,0.486435843979336,0.48599729478304166,0.5432628154679314,0.5920848028696589,0.7501868348526025,0.8826273551081616,0.961691118702319,0.8651035280184892,0.9146040088504963,0.9051205943306333,0.7732408423442694
55,0.8824380728990463,0.8244534763049503,0.7380711836664485,0.7356126037096634,0.7187694950400121,0.7075847758716647,0.5806017306541091,0.5841058072852383,0.5826383246832904,0.5446776675567312,0.6537651242843525,0.6842983738987753,0.5575422370171523,0.6484420552888569,0.695060074577527,0.7047773306394697,0.6856733618769583,0.6674377048318381
56,0.7214786873856963,0.7075794550864376,0.62846669583582,0.5988578355002742,0.5073837729342663,0.47677743253835475,0.46590438781183424,0.4355469179018692,0.42641632155924997,0.40539543241277826,0.3765778392714781,0.45444446263618765,0.4166610860894727,0.572842025682902,0.6298184022392486,0.4763125393826048,0.4867395647471419,0.4439344178997059
33,0.8783231553229225,0.7917498976853119,0.6730289344087532,0.5500665883405981,0.5095101339994581,0.5016718543616245,0.462262695240168,0.4542018792803782,0.396136830109983,0.7292032029080693,0.6865726472085321,0.7178538020505454,0.7905990882501918,0.9233163704835965,0.8957634363593199,0.970508530600217,0.9856690278516158,1.0141543751258617
34,0.8900853954674735,0.7792242382679038,0.7062852582749031,0.6294590088137413,0.5915532044609729,0.5051018722960888,0.4885584464903426,0.4779526253589323,0.45598263738966877,0.6434090674101199,0.7055238215557109,0.7926137755188579,0.9143483049523967,1.0004737962615837,1.029243662769712,0.9587794531784075,0.8336666606811272,0.9065136874590023
35,0.8671166802656675,0.7693534342423524,0.5958867570305165,0.5502222550288486,0.5180867124489704,0.4662334194133706,0.4289650421406283,0.4261379652636186,0.4040229535436458,0.8013108230965943,0.8076482355296334,0.8390804190922028,0.8973184251340772,0.8868493978272634,0.8978392014949576,0.926269870351057,1.043571630170407,1.0710150493026096
37,0.6492797051407222,0.5907168619531823,0.5603555999795844,0.526277872621285,0.46588290311274166,0.4896656231912471,0.4750362465167283,0.4735286667664734,0.4614771790930735,0.6567963206732872,0.4896176067806836,0.47245209172194813,0.48636655316229555,0.5791846398482016,0.5647960726046282,0.5986354259042908,0.615857963691001,0.6253849885031735
38,0.8783492845990545,0.6946471669988696,0.6172600493580099,0.4724894043079268,0.6203774909261633,0.44265489672689673,0.4371197358118651,0.43140111186829294,0.4080445419604602,0.20660986113031005,0.4798841201260296,0.5768808653859467,0.6646689197442299,0.3137135005526566,0.5817384621142325,0.7082538380420011,0.43089263200915506,0.688166624964564
39,0.6940619156160873,0.6188720343301948,0.5750050002108942,0.5802281067812417,0.5427347588603862,0.5470861582635612,0.5303779768548226,0.5102857929258542,0.46815412808491796,0.475163660664757,0.519831229075325,0.5657425192092712,0.6470272441263681,0.6676971604464986,0.547552593457519,0.714482324838961,0.6241518200376731,0.4686097112621974
36,0.624922490315,0.5379578840243486,0.46792228842791195,0.40442255223956575,0.4150506863013272,0.38560120501062023,0.386413098395438,0.36114484731428875,0.3271656936164588,0.7369994697034524,0.7524068370794778,0.8215108835950333,0.9205893279399964,0.8779570016139449,0.9906402563870648,1.004191950160306,1.0289254946350992,1.1479187568135127
